joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.141266,0.116424,-0.014298,0.176450,0.064217,0.001770,0.442473,0.024136,-0.048335,0.145399,0.076350,-0.978695,-0.767452,-0.394778,-0.181776,0.332642,-0.372522,0.028170,0.113095,-0.295707,0.602350,-0.373847,-0.605345,-0.506514,0.943504,-0.334315,-0.285070,0.663769,-0.417809
0.141433,0.115416,-0.018361,0.182066,0.068889,0.003081,0.443131,0.032728,-0.047086,0.149277,0.078415,-0.999096,-0.777878,-0.395166,-0.178940,0.341242,-0.373163,0.026419,0.115959,-0.293412,0.603616,-0.382218,-0.623855,-0.485482,0.944148,-0.328719,-0.282087,0.673247,-0.423154
0.141329,0.115302,-0.023795,0.187791,0.073828,0.004009,0.445578,0.042636,-0.044880,0.153294,0.078528,-1.014871,-0.785176,-0.397497,-0.175240,0.344191,-0.373547,0.027728,0.118181,-0.291443,0.603242,-0.388476,-0.640338,-0.465084,0.939453,-0.326168,-0.279726,0.691080,-0.429939
0.142430,0.115573,-0.029164,0.192657,0.078136,0.004533,0.449917,0.053290,-0.042764,0.156070,0.078214,-1.028451,-0.791127,-0.399091,-0.171945,0.347186,-0.374848,0.028842,0.119854,-0.289686,0.602932,-0.395204,-0.654514,-0.445832,0.935091,-0.324501,-0.277844,0.708579,-0.435599
0.145938,0.116614,-0.034404,0.195806,0.081182,0.004250,0.458040,0.065437,-0.040830,0.156364,0.077043,-1.037641,-0.794386,-0.399212,-0.169458,0.350275,-0.377984,0.029566,0.120428,-0.288354,0.602750,-0.402872,-0.664075,-0.428872,0.931396,-0.324604,-0.276921,0.725410,-0.439009
0.149453,0.117645,-0.039978,0.198453,0.083977,0.004541,0.464821,0.074564,-0.040162,0.155592,0.076515,-1.046473,-0.797149,-0.398495,-0.166522,0.352717,-0.381527,0.029668,0.122125,-0.287270,0.601077,-0.408009,-0.672077,-0.412025,0.925879,-0.323668,-0.276373,0.739914,-0.440604
0.152970,0.118671,-0.045720,0.200849,0.086647,0.005119,0.470932,0.082180,-0.040128,0.154288,0.076307,-1.055126,-0.799663,-0.397359,-0.163363,0.354834,-0.385273,0.029459,0.124384,-0.286312,0.598660,-0.411880,-0.679300,-0.395235,0.919450,-0.322212,-0.276013,0.753253,-0.441292
0.156099,0.119594,-0.049272,0.202622,0.089125,0.005767,0.476796,0.088556,-0.039764,0.152278,0.075102,-1.061662,-0.800843,-0.395632,-0.160223,0.358885,-0.389470,0.028024,0.127612,-0.286558,0.596938,-0.413330,-0.683089,-0.385071,0.918236,-0.319458,-0.275465,0.758340,-0.443477
0.158883,0.120565,-0.052676,0.204255,0.091190,0.006481,0.482417,0.093999,-0.038877,0.150484,0.073886,-1.067064,-0.801148,-0.393777,-0.157787,0.362436,-0.393283,0.026878,0.130025,-0.286581,0.594376,-0.414032,-0.686163,-0.376889,0.916618,-0.316976,-0.275166,0.762641,-0.445562
0.160978,0.121633,-0.055785,0.205607,0.092431,0.007325,0.487554,0.097577,-0.036940,0.149120,0.072648,-1.070195,-0.799706,-0.391666,-0.156758,0.364986,-0.396326,0.026311,0.130809,-0.286159,0.590133,-0.413236,-0.687804,-0.372672,0.914192,-0.315038,-0.275363,0.765366,-0.447446
0.163146,0.122271,-0.058184,0.206575,0.093133,0.007670,0.492358,0.101168,-0.034908,0.147849,0.072286,-1.071272,-0.797328,-0.390069,-0.156051,0.366714,-0.398877,0.026571,0.131372,-0.285090,0.585262,-0.411264,-0.687620,-0.369409,0.909321,-0.314111,-0.275271,0.770183,-0.449176
0.165350,0.122695,-0.060227,0.207350,0.093565,0.007765,0.496996,0.104767,-0.032829,0.146625,0.072362,-1.071321,-0.794483,-0.388729,-0.155505,0.368031,-0.401182,0.027244,0.131824,-0.283698,0.580077,-0.408705,-0.686523,-0.366623,0.903227,-0.313689,-0.275035,0.776046,-0.450827
0.166639,0.121505,-0.061094,0.207636,0.093590,0.007713,0.502079,0.105999,-0.030976,0.145517,0.073732,-1.069909,-0.789758,-0.387651,-0.154080,0.370237,-0.403338,0.027157,0.133470,-0.282720,0.576325,-0.406788,-0.684744,-0.366258,0.903219,-0.313207,-0.274570,0.775853,-0.452470
0.167635,0.120680,-0.061850,0.207713,0.093573,0.007629,0.505941,0.107341,-0.029327,0.144230,0.074270,-1.068108,-0.784837,-0.387051,-0.153433,0.371759,-0.405137,0.027017,0.134251,-0.281677,0.573061,-0.405472,-0.683010,-0.367317,0.904421,-0.313128,-0.274457,0.775466,-0.453996
0.168046,0.120587,-0.062385,0.207370,0.093471,0.007485,0.507357,0.108903,-0.028083,0.142583,0.073144,-1.065528,-0.779524,-0.387404,-0.154342,0.371911,-0.406223,0.026771,0.133303,-0.280506,0.570772,-0.405359,-0.681366,-0.371227,0.908044,-0.313854,-0.275046,0.774688,-0.455291
0.167315,0.120080,-0.062324,0.206777,0.092727,0.007522,0.507674,0.107810,-0.027334,0.141035,0.071830,-1.061424,-0.774606,-0.386945,-0.154728,0.372311,-0.407862,0.027053,0.132599,-0.279620,0.568398,-0.405360,-0.679679,-0.374890,0.909000,-0.314216,-0.275265,0.773796,-0.457145
0.166014,0.119366,-0.061965,0.206058,0.091662,0.007648,0.507440,0.105390,-0.026831,0.139535,0.070424,-1.056558,-0.769886,-0.386079,-0.154853,0.372835,-0.409778,0.027599,0.132018,-0.278877,0.565981,-0.405418,-0.677970,-0.378430,0.908622,-0.314396,-0.275299,0.772845,-0.459278
0.165021,0.117937,-0.060771,0.204671,0.090220,0.007252,0.509102,0.103499,-0.026312,0.137927,0.069807,-1.049180,-0.764359,-0.385560,-0.155447,0.374045,-0.411601,0.028599,0.131200,-0.277982,0.565068,-0.406230,-0.675125,-0.380901,0.909073,-0.313816,-0.273418,0.769288,-0.460497
0.163862,0.116566,-0.059610,0.203343,0.088827,0.006896,0.510296,0.101685,-0.025835,0.136280,0.069026,-1.040694,-0.758936,-0.385141,-0.156310,0.375154,-0.413569,0.030096,0.129787,-0.277066,0.563939,-0.406544,-0.672063,-0.382165,0.907185,-0.313160,-0.271492,0.766240,-0.461544
