joint_0_vel,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,joint_7_vel,joint_8_vel,joint_9_vel,joint_10_vel,joint_11_vel,joint_12_vel,joint_13_vel,joint_14_vel,joint_15_vel,joint_16_vel,joint_17_vel,joint_18_vel,joint_19_vel,joint_20_vel,joint_21_vel,joint_22_vel,joint_23_vel,joint_24_vel,joint_25_vel,joint_26_vel,joint_27_vel,joint_28_vel
0.017312,-0.062754,-0.239472,0.268545,0.204855,0.068726,0.022388,0.417912,0.060692,0.198134,0.152870,-1.106819,-0.618831,0.018568,0.145903,0.360246,0.022020,-0.113000,0.182641,0.094820,0.128416,-0.439548,-1.010746,1.004621,0.147507,0.274754,0.137769,0.629483,-0.240835
0.008329,-0.050365,-0.203171,0.280803,0.233627,0.065527,0.032924,0.429595,0.062439,0.193924,0.103237,-1.020064,-0.521314,-0.019424,0.141812,0.429967,-0.032049,-0.087523,0.143188,0.114730,0.063272,-0.418542,-0.925505,1.051607,0.032233,0.279834,0.149145,0.473889,-0.267278
-0.005167,-0.005710,-0.271675,0.286228,0.246954,0.046391,0.122353,0.495404,0.110312,0.200849,0.005663,-0.788770,-0.364872,-0.116539,0.184972,0.147453,-0.019196,0.065460,0.111127,0.098456,-0.018666,-0.312906,-0.824157,1.019887,-0.234770,0.127559,0.118091,0.891641,-0.339222
0.055031,0.013541,-0.268451,0.243299,0.215399,0.026206,0.216950,0.532719,0.105778,0.138793,-0.015736,-0.679003,-0.297564,-0.079705,0.164770,0.149783,-0.065067,0.055703,0.083643,0.087851,-0.015491,-0.336401,-0.708786,0.962596,-0.218092,0.083329,0.094103,0.874953,-0.282989
0.175426,0.052042,-0.262003,0.157442,0.152288,-0.014163,0.406144,0.607349,0.096711,0.014682,-0.058533,-0.459470,-0.162950,-0.006038,0.124366,0.154444,-0.156811,0.036190,0.028677,0.066641,-0.009139,-0.383390,-0.478045,0.848013,-0.184736,-0.005131,0.046127,0.841575,-0.170524
0.175718,0.051544,-0.278720,0.132360,0.139751,0.014546,0.339071,0.456327,0.033380,-0.038579,-0.026417,-0.441598,-0.138124,0.035845,0.146764,0.122071,-0.177134,0.005095,0.084871,0.054165,-0.083619,-0.256844,-0.400107,0.842336,-0.275877,0.046804,0.027379,0.725169,-0.079764
0.175864,0.051295,-0.287079,0.119820,0.133483,0.028901,0.305535,0.380816,0.001714,-0.065210,-0.010359,-0.432662,-0.125712,0.056786,0.157964,0.105885,-0.187295,-0.010452,0.112969,0.047927,-0.120859,-0.193571,-0.361138,0.839497,-0.321447,0.072771,0.018005,0.666965,-0.034383
0.156441,0.046170,-0.177597,0.088647,0.123902,0.032444,0.293173,0.318811,0.018171,-0.100488,-0.060271,-0.326822,-0.058989,0.086348,0.157001,0.202533,-0.209875,-0.071777,0.161367,-0.012319,-0.086108,-0.072521,-0.189486,0.508212,-0.060691,0.137697,0.027409,0.254372,-0.109249
0.139209,0.048566,-0.170217,0.081636,0.103282,0.035688,0.281072,0.272162,0.044396,-0.089720,-0.060805,-0.270073,-0.015286,0.092750,0.121817,0.177529,-0.190637,-0.057292,0.120653,-0.001168,-0.128119,-0.035080,-0.153676,0.409093,-0.080889,0.124097,0.014977,0.215007,-0.104240
0.104744,0.053359,-0.155457,0.067614,0.062043,0.042176,0.256871,0.178864,0.096847,-0.068184,-0.061873,-0.156577,0.072119,0.105554,0.051447,0.127522,-0.152162,-0.028322,0.039225,0.021135,-0.212141,0.039802,-0.082058,0.210855,-0.121284,0.096898,-0.009887,0.136278,-0.094222
0.108383,0.031918,-0.119933,0.048368,0.035087,0.017250,0.240199,0.179588,0.101586,-0.063542,-0.018099,-0.053825,0.118885,0.079855,0.035333,0.086406,-0.127555,0.012986,0.028131,0.053439,-0.243552,0.098582,0.009217,0.163140,-0.243561,0.046373,0.004596,0.240855,-0.086469
0.110202,0.021197,-0.102171,0.038745,0.021609,0.004788,0.231864,0.179950,0.103956,-0.061221,0.003787,-0.002450,0.142268,0.067006,0.027275,0.065848,-0.115251,0.033641,0.022584,0.069592,-0.259257,0.127972,0.054855,0.139283,-0.304699,0.021111,0.011837,0.293144,-0.082593
0.064449,-0.059513,-0.043330,0.014329,0.001256,-0.002635,0.254188,0.061592,0.092632,-0.055375,0.068513,0.070578,0.236260,0.053884,0.071266,0.110322,-0.107794,-0.004327,0.082317,0.048914,-0.187565,0.095844,0.088951,0.018276,-0.000409,0.024089,0.023220,-0.009636,-0.082106
0.049814,-0.041223,-0.037807,0.003842,-0.000869,-0.004162,0.193067,0.067096,0.082479,-0.064361,0.026896,0.090052,0.246055,0.030028,0.032362,0.076082,-0.089952,-0.006995,0.039065,0.052124,-0.163202,0.065791,0.086697,-0.052980,0.060106,0.003960,0.005669,-0.019380,-0.076316
0.020544,-0.004643,-0.026760,-0.017132,-0.005119,-0.007216,0.070825,0.078103,0.062173,-0.082333,-0.056339,0.129000,0.265644,-0.017684,-0.045446,0.007603,-0.054268,-0.012331,-0.047438,0.058544,-0.114477,0.005684,0.082188,-0.195491,0.181137,-0.036297,-0.029434,-0.038867,-0.064735
-0.036523,-0.025346,0.003060,-0.029671,-0.037201,0.001818,0.015815,-0.054645,0.037475,-0.077433,-0.065655,0.205213,0.245877,0.022970,-0.019309,0.020006,-0.081960,0.014093,-0.035171,0.044302,-0.118705,-0.000056,0.084366,-0.183164,0.047784,-0.018108,-0.010949,-0.044639,-0.092700
-0.065057,-0.035697,0.017969,-0.035941,-0.053242,0.006335,-0.011689,-0.121020,0.025126,-0.074982,-0.070313,0.243319,0.235993,0.043296,-0.006241,0.026208,-0.095806,0.027305,-0.029038,0.037182,-0.120819,-0.002926,0.085455,-0.177000,-0.018892,-0.009013,-0.001707,-0.047525,-0.106682
-0.049656,-0.071465,0.059684,-0.069368,-0.072099,-0.019806,0.083100,-0.094541,0.025932,-0.080414,-0.030839,0.368882,0.276382,0.025940,-0.029691,0.060495,-0.091142,0.049991,-0.040934,0.044744,-0.045644,-0.040607,0.142239,-0.123542,0.022548,0.028978,0.094050,-0.177863,-0.060928
-0.057966,-0.068572,0.058033,-0.066393,-0.069627,-0.017793,0.059726,-0.090719,0.023867,-0.082310,-0.039068,0.424317,0.271136,0.020943,-0.043185,0.055406,-0.098407,0.074885,-0.070642,0.045815,-0.056445,-0.015664,0.153072,-0.063173,-0.094396,0.032801,0.096283,-0.152373,-0.052362
-0.074586,-0.062785,0.054729,-0.060445,-0.064681,-0.013767,0.012978,-0.083075,0.019736,-0.086101,-0.055527,0.535187,0.260645,0.010950,-0.070174,0.045228,-0.112935,0.124672,-0.130058,0.047959,-0.078047,0.034223,0.174739,0.057563,-0.328286,0.040448,0.100749,-0.101393,-0.035229
-0.093607,-0.095913,0.058680,-0.061380,-0.073136,0.004901,-0.005293,-0.110746,-0.039658,-0.062812,-0.003198,0.525001,0.252910,0.011767,-0.091323,0.102923,-0.113928,0.109586,-0.119910,0.026606,-0.075884,0.035648,0.130081,0.243585,-0.435362,0.086160,0.140046,-0.095232,0.006994
-0.103118,-0.112477,0.060656,-0.061848,-0.077364,0.014236,-0.014428,-0.124581,-0.069355,-0.051167,0.022966,0.519909,0.249043,0.012176,-0.101898,0.131771,-0.114424,0.102042,-0.114836,0.015930,-0.074803,0.036361,0.107751,0.336597,-0.488901,0.109017,0.159695,-0.092152,0.028105
-0.171719,-0.162409,0.033926,-0.070175,-0.039359,-0.003301,-0.222824,-0.073815,-0.165233,-0.004918,0.074480,0.461465,0.203814,0.027656,-0.034048,0.127738,-0.141782,0.090277,-0.135274,0.008487,-0.077632,-0.019945,0.070481,0.531322,-0.694814,0.159777,0.239950,-0.058039,0.011280
-0.187348,-0.153655,0.038137,-0.067341,-0.048089,0.005236,-0.237883,-0.105475,-0.159929,-0.007998,0.043728,0.474225,0.196573,0.030832,-0.051879,0.119380,-0.145162,0.093268,-0.150554,0.002233,-0.102332,0.002776,0.045328,0.493348,-0.727407,0.147485,0.199282,-0.080661,-0.030051
-0.218606,-0.136148,0.046558,-0.061672,-0.065550,0.022310,-0.268002,-0.168796,-0.149320,-0.014160,-0.017776,0.499744,0.182090,0.037183,-0.087540,0.102665,-0.151923,0.099251,-0.181113,-0.010274,-0.151731,0.048219,-0.004978,0.417400,-0.792593,0.122903,0.117944,-0.125903,-0.112713
-0.203056,-0.174556,0.061619,-0.145322,-0.129656,-0.005100,-0.283779,-0.215543,-0.161008,-0.096276,0.045443,0.515928,0.252793,0.103547,-0.121338,0.173655,-0.239953,0.053966,-0.165090,-0.024902,-0.184902,-0.043616,0.045497,0.415121,-0.821309,0.112770,0.075811,-0.188639,-0.184378
-0.195280,-0.193760,0.069149,-0.187146,-0.161709,-0.018805,-0.291667,-0.238916,-0.166852,-0.137334,0.077053,0.524020,0.288144,0.136728,-0.138237,0.209150,-0.283967,0.031324,-0.157078,-0.032216,-0.201488,-0.089534,0.070735,0.413981,-0.835667,0.107703,0.054744,-0.220007,-0.220210
-0.232866,-0.170255,0.165399,-0.210990,-0.174564,0.012497,-0.401968,-0.369500,-0.078347,-0.247632,-0.062185,0.751804,0.417275,0.126038,-0.061175,0.271123,-0.279532,0.037870,-0.173661,-0.177594,-0.195544,-0.075164,0.045451,0.018862,-0.333327,0.111397,-0.131964,-0.918583,-0.204957
-0.234106,-0.112973,0.153029,-0.210586,-0.172099,0.011747,-0.448720,-0.423341,-0.071468,-0.259394,-0.129523,0.842816,0.444018,0.118830,-0.070059,0.273058,-0.346168,0.025602,-0.210718,-0.185679,-0.256380,-0.076381,0.095198,-0.067409,-0.494834,0.061363,-0.156776,-1.071073,-0.156810
-0.236587,0.001592,0.128288,-0.209779,-0.167168,0.010248,-0.542225,-0.531022,-0.057709,-0.282919,-0.264198,1.024840,0.497503,0.104414,-0.087828,0.276929,-0.479439,0.001065,-0.284833,-0.201851,-0.378052,-0.078814,0.194693,-0.239951,-0.817848,-0.038705,-0.206399,-1.376054,-0.060516
-0.169008,0.001416,0.096188,-0.292626,-0.162672,0.003995,-0.464674,-0.265783,-0.018927,-0.329073,-0.235911,1.171776,0.740639,0.220532,-0.047306,0.185555,-0.419373,0.087910,-0.360064,-0.166252,-0.476836,-0.004484,0.521804,-0.074480,-0.878890,-0.106944,-0.153855,-1.005344,0.215861
-0.135218,0.001327,0.080139,-0.334050,-0.160424,0.000869,-0.425898,-0.133164,0.000464,-0.352149,-0.221768,1.245244,0.862207,0.278590,-0.027044,0.139868,-0.389340,0.131333,-0.397679,-0.148453,-0.526228,0.032681,0.685360,0.008256,-0.909410,-0.141064,-0.127583,-0.819989,0.354049
-0.175348,-0.039704,0.160106,-0.398124,-0.215846,-0.055199,-0.326335,-0.602840,0.053098,-0.450519,-0.305958,1.682834,1.154782,0.223937,0.111406,0.216324,-0.519710,0.209717,-0.418550,-0.042286,-0.734654,0.172296,0.711451,0.022143,-1.207421,-0.193129,-0.240397,-1.325054,0.325093
