body_0_x,body_0_y,body_0_z
0.075653,-0.268680,0.762907
0.073827,-0.272559,0.763244
0.072003,-0.275945,0.763618
0.070182,-0.278344,0.764063
0.068808,-0.281664,0.764628
0.067659,-0.285445,0.765253
0.065838,-0.288445,0.765970
0.063973,-0.291821,0.766773
0.062020,-0.295952,0.767745
0.060176,-0.299587,0.768383
0.058387,-0.302973,0.768855
0.057113,-0.306349,0.770942
0.055319,-0.310016,0.772527
0.052485,-0.314262,0.773105
0.049983,-0.317809,0.774450
0.047645,-0.321006,0.776179
0.045987,-0.325212,0.776941
0.043899,-0.329259,0.778194
0.040951,-0.332991,0.780428
0.037957,-0.336451,0.782209
0.034940,-0.339777,0.783764
0.031792,-0.344723,0.784542
0.028696,-0.349020,0.785959
0.025704,-0.352020,0.788650
0.022690,-0.355871,0.790132
0.019666,-0.360148,0.791010
0.016659,-0.363931,0.793221
0.013661,-0.367742,0.794816
0.010683,-0.371606,0.795180
0.007375,-0.375374,0.796307
0.003903,-0.379094,0.797814
0.000025,-0.382439,0.798427
-0.004141,-0.385680,0.799047
-0.008882,-0.388713,0.799682
-0.014099,-0.392191,0.800088
-0.019553,-0.395892,0.800379
-0.024010,-0.398372,0.800841
-0.028104,-0.401518,0.800980
-0.031474,-0.405999,0.800474
-0.034454,-0.409306,0.800880
-0.037238,-0.412027,0.801742
-0.039682,-0.416221,0.801221
-0.041902,-0.419720,0.801210
-0.043674,-0.421830,0.802221
-0.046049,-0.424979,0.802832
-0.048726,-0.428647,0.803243
-0.051373,-0.430891,0.803288
-0.053570,-0.433415,0.803274
-0.054865,-0.436497,0.803141
-0.056409,-0.438141,0.803076
-0.058077,-0.439065,0.803044
-0.058940,-0.441853,0.802267
-0.060193,-0.443792,0.801700
-0.062226,-0.444028,0.801550
-0.063246,-0.444793,0.801398
-0.063760,-0.445821,0.801244
-0.065670,-0.445762,0.801217
-0.067139,-0.446033,0.801182
-0.067728,-0.446967,0.801131
-0.068509,-0.447871,0.801074
-0.069386,-0.448762,0.801013
-0.070888,-0.448361,0.800823
-0.071660,-0.448324,0.800577
-0.070972,-0.449016,0.800219
-0.071373,-0.449273,0.800031
-0.072318,-0.449313,0.799928
-0.071939,-0.449968,0.799751
