body_0_vel_x,body_0_vel_y,body_0_vel_z
-0.187541,-0.011025,-0.040317
-0.185009,-0.026160,-0.028909
-0.183743,-0.033727,-0.023205
-0.165903,0.049126,-0.064718
-0.146972,0.022959,-0.050815
-0.109111,-0.029374,-0.023010
-0.115186,0.045492,-0.027695
-0.118224,0.082925,-0.030037
-0.098542,0.023051,0.008472
-0.085012,0.045041,-0.006775
-0.057951,0.089020,-0.037268
-0.097795,0.063583,-0.012120
-0.117717,0.050864,0.000454
-0.039562,0.053072,0.001869
-0.054114,0.054497,-0.010306
-0.083218,0.057347,-0.034656
-0.070591,0.113201,-0.027280
-0.064277,0.141128,-0.023593
-0.023621,0.227530,0.009817
-0.049392,0.226023,0.013650
-0.100935,0.223009,0.021316
-0.074924,0.274749,0.027927
-0.061919,0.300619,0.031232
-0.123693,0.236595,0.033447
-0.129363,0.237282,0.028012
-0.140703,0.238656,0.017141
-0.145571,0.201997,0.001724
-0.148006,0.183668,-0.005985
-0.160797,0.100739,0.014454
-0.150539,0.106805,0.024772
-0.130023,0.118937,0.045410
-0.110800,0.065338,-0.010864
-0.101188,0.038538,-0.039001
-0.103828,0.015603,0.007887
-0.095203,0.005004,-0.008794
-0.077955,-0.016195,-0.042157
-0.069070,-0.037202,-0.026989
-0.064627,-0.047705,-0.019405
0.001863,-0.089274,-0.041993
-0.027178,-0.087130,-0.030689
-0.085259,-0.082840,-0.008081
-0.058027,-0.116911,-0.040165
-0.044410,-0.133947,-0.056207
-0.061715,-0.103993,0.068949
-0.085506,-0.122562,0.030246
-0.133087,-0.159701,-0.047160
-0.114403,-0.160430,0.008367
-0.105061,-0.160794,0.036131
-0.186988,-0.112956,-0.002743
-0.175328,-0.123538,-0.009274
-0.152009,-0.144701,-0.022337
-0.163003,-0.116416,-0.003037
-0.168500,-0.102274,0.006613
-0.188422,-0.054957,0.009452
-0.161392,-0.059860,0.004466
-0.107331,-0.069667,-0.005507
-0.105752,-0.020507,0.023338
-0.104963,0.004073,0.037760
-0.081519,-0.026365,0.020086
-0.074544,-0.000926,0.020515
-0.060594,0.049953,0.021372
-0.069552,-0.000268,0.009061
-0.074030,-0.025378,0.002906
-0.044230,0.011375,0.000165
-0.055360,0.008282,-0.000384
-0.077618,0.002095,-0.001481
-0.037214,0.005846,-0.005548
-0.017012,0.007721,-0.007582
