joint_0_vel,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,joint_7_vel,joint_8_vel,joint_9_vel,joint_10_vel,joint_11_vel,joint_12_vel,joint_13_vel,joint_14_vel,joint_15_vel,joint_16_vel,joint_17_vel,joint_18_vel,joint_19_vel,joint_20_vel,joint_21_vel,joint_22_vel,joint_23_vel,joint_24_vel,joint_25_vel,joint_26_vel,joint_27_vel,joint_28_vel
-0.026116,0.102793,-0.025538,0.323689,0.175517,0.083863,-0.672387,-0.085866,0.175382,0.596641,0.252560,0.556000,-1.500875,0.011486,-0.473282,0.403720,-0.136745,0.056633,-0.271922,0.195512,-0.065998,0.088062,1.416721,0.303545,-1.253060,0.284882,0.142702,-0.295190,-0.541158
-0.150935,-0.055331,-0.142147,0.396150,0.178322,0.127411,-0.467294,-0.103405,0.148449,0.563308,0.222371,0.571163,-1.276065,-0.172139,-0.423818,0.196325,-0.089037,0.026593,-0.204682,0.036828,-0.279647,-0.011877,1.242113,0.250822,-1.243394,0.242562,0.002546,-0.454456,-0.698067
-0.127930,-0.063573,-0.230090,0.399564,0.214703,0.135997,-0.564402,-0.050606,0.246805,0.495740,0.176323,0.538494,-1.143684,-0.059068,-0.339256,0.195538,-0.261860,0.122000,-0.262944,0.119866,-0.487069,-0.094541,1.215391,0.137425,-1.509864,0.163081,-0.059603,-0.403323,-0.741596
-0.081920,-0.080057,-0.405977,0.406392,0.287464,0.153169,-0.758618,0.054990,0.443516,0.360604,0.084226,0.473156,-0.878924,0.167073,-0.170133,0.193964,-0.607505,0.312814,-0.379469,0.285941,-0.901914,-0.259870,1.161947,-0.089369,-2.042804,0.004119,-0.183902,-0.301058,-0.828655
-0.076043,-0.077015,-0.432575,0.319280,0.156616,0.216281,-0.607936,0.024311,0.256552,0.327573,0.179890,0.471689,-0.068494,0.258000,-0.098109,-0.087470,-0.646759,0.242159,-0.230825,0.389225,-1.036772,-0.221621,0.666175,-0.324713,-1.087292,-0.038792,-0.209901,-0.162091,-0.857267
-0.073104,-0.075494,-0.445873,0.275724,0.091193,0.247838,-0.532595,0.008971,0.163069,0.311058,0.227721,0.470955,0.336721,0.303464,-0.062097,-0.228186,-0.666386,0.206832,-0.156503,0.440868,-1.104201,-0.202496,0.418290,-0.442385,-0.609536,-0.060247,-0.222900,-0.092607,-0.871573
0.096868,0.018495,-0.529143,0.212050,-0.029490,0.122102,-0.309775,-0.227703,0.432641,-0.006579,0.100931,0.309627,0.900353,0.792212,-0.109031,-0.123473,-1.177953,0.243891,-0.280643,0.595892,-1.776929,-0.370517,0.370597,-0.775653,-0.302055,-0.208228,-0.414224,0.132246,-1.649788
0.075371,-0.002206,-0.693525,0.294124,-0.017776,0.196432,-0.165492,-0.197266,0.510585,-0.011642,0.067678,0.295878,1.380942,0.943576,-0.026352,-0.313314,-1.323749,0.329925,-0.331985,0.712470,-2.268293,-0.300242,-0.117122,-0.980645,-0.517782,-0.220760,-0.572484,0.266513,-2.149866
0.032376,-0.043608,-1.022289,0.458272,0.005653,0.345092,0.123074,-0.136390,0.666473,-0.021770,0.001174,0.268379,2.342119,1.246305,0.139005,-0.692996,-1.615342,0.501993,-0.434668,0.945625,-3.251020,-0.159692,-1.092560,-1.390629,-0.949235,-0.245826,-0.889002,0.535047,-3.150022
0.090019,-0.130358,-0.936320,0.333863,-0.091298,0.148814,0.062483,-0.016482,0.507699,-0.048423,0.160653,0.281994,2.119818,0.876219,0.271448,-0.334872,-1.392360,0.327679,-0.216197,0.291572,-2.990019,-0.472554,-0.564699,-1.108986,-0.688609,-0.420489,-0.630254,0.282716,-3.095750
