body_0_w,body_0_x,body_0_y,body_0_z
0.988710,-0.022411,-0.081413,-0.123786
0.988352,-0.023139,-0.080803,-0.126866
0.988030,-0.023888,-0.080246,-0.129561
0.987793,-0.024677,-0.079794,-0.131490
0.987522,-0.025394,-0.079385,-0.133614
0.987233,-0.026076,-0.078997,-0.135834
0.986965,-0.027141,-0.078603,-0.137784
0.986705,-0.028122,-0.078318,-0.139602
0.986465,-0.028932,-0.078250,-0.141160
0.986187,-0.029605,-0.077874,-0.143158
0.985886,-0.030211,-0.077344,-0.145377
0.985642,-0.030963,-0.077338,-0.146867
0.985406,-0.031802,-0.077242,-0.148312
0.985190,-0.032818,-0.076968,-0.149666
0.985185,-0.033924,-0.076728,-0.149572
0.985286,-0.035076,-0.076505,-0.148754
0.985572,-0.034992,-0.076264,-0.146997
0.986034,-0.034895,-0.075862,-0.144096
0.986838,-0.034775,-0.075139,-0.138906
0.988110,-0.033964,-0.074847,-0.129936
0.989524,-0.032806,-0.074764,-0.119064
0.991637,-0.031103,-0.074926,-0.100369
0.993691,-0.028539,-0.075249,-0.078115
0.995628,-0.024250,-0.075894,-0.048752
0.996890,-0.018965,-0.075853,-0.009828
0.996493,-0.013156,-0.075369,0.033879
0.993405,-0.004885,-0.074427,0.087079
0.987583,0.003407,-0.071967,0.139602
0.979259,0.011713,-0.066694,0.190964
0.969035,0.018844,-0.060986,0.238529
0.956928,0.025365,-0.055005,0.283936
0.946047,0.030904,-0.048358,0.318905
0.935202,0.035049,-0.041846,0.349884
0.926234,0.036465,-0.035696,0.373478
0.917972,0.036973,-0.031424,0.393667
0.909952,0.037022,-0.028087,0.412101
0.906091,0.034978,-0.025143,0.420883
0.903830,0.033119,-0.023097,0.425982
0.904921,0.031634,-0.022852,0.423786
0.911730,0.029822,-0.029433,0.408647
0.920896,0.027828,-0.039410,0.386812
0.930155,0.024326,-0.045884,0.363476
0.940812,0.021330,-0.052129,0.334216
0.954136,0.019345,-0.057905,0.293083
0.964673,0.014734,-0.062679,0.255459
0.973283,0.008804,-0.066915,0.219464
0.981170,0.002895,-0.070888,0.179644
0.987168,-0.002905,-0.073408,0.141780
0.991395,-0.008479,-0.073167,0.108215
0.994407,-0.012624,-0.072281,0.075962
0.996358,-0.016048,-0.071040,0.044340
0.997369,-0.018705,-0.069128,0.011284
0.997292,-0.021368,-0.067172,-0.020994
0.996241,-0.024062,-0.065213,-0.051688
0.994576,-0.025853,-0.062703,-0.078855
0.992375,-0.027185,-0.059904,-0.104234
0.989554,-0.028786,-0.058569,-0.128542
0.986332,-0.030303,-0.057234,-0.151512
0.983016,-0.031677,-0.055942,-0.171893
0.979843,-0.032298,-0.054786,-0.189378
0.976663,-0.032541,-0.053693,-0.205397
0.973784,-0.031860,-0.052843,-0.218946
0.970840,-0.031134,-0.052100,-0.231919
0.967980,-0.030323,-0.051585,-0.243791
0.965197,-0.028687,-0.051148,-0.254864
0.962399,-0.026635,-0.050748,-0.265524
0.960451,-0.025881,-0.050151,-0.272670
0.958563,-0.025228,-0.049665,-0.279382
0.956860,-0.024780,-0.049405,-0.285244
0.955432,-0.024488,-0.049318,-0.290029
0.954139,-0.024275,-0.049319,-0.294275
0.953375,-0.023482,-0.050389,-0.296624
0.952759,-0.022822,-0.051244,-0.298502
0.952451,-0.022425,-0.051668,-0.299442
0.952350,-0.021841,-0.052387,-0.299679
0.952353,-0.021164,-0.053253,-0.299566
0.952929,-0.020529,-0.053889,-0.297658
0.953594,-0.019999,-0.054579,-0.295432
0.954436,-0.019678,-0.055375,-0.292571
0.955631,-0.019208,-0.056271,-0.288503
0.956985,-0.018661,-0.057216,-0.283827
0.958492,-0.018235,-0.057813,-0.278601
0.960048,-0.017809,-0.058488,-0.273074
0.961725,-0.017382,-0.059320,-0.266952
0.963511,-0.016988,-0.060490,-0.260192
0.965319,-0.016611,-0.061827,-0.253104
0.967201,-0.016502,-0.063210,-0.245469
0.968978,-0.016380,-0.064733,-0.237956
0.970611,-0.016233,-0.066540,-0.230701
0.972192,-0.015967,-0.067962,-0.223538
0.973721,-0.015641,-0.069189,-0.216415
0.975431,-0.014966,-0.071201,-0.207944
0.976982,-0.014345,-0.072976,-0.199936
0.978310,-0.013836,-0.074284,-0.192872
0.979709,-0.013228,-0.075388,-0.185232
0.981108,-0.012570,-0.076386,-0.177297
0.982272,-0.011414,-0.077263,-0.170419
0.983420,-0.010300,-0.078107,-0.163334
0.984583,-0.009268,-0.078888,-0.155843
0.985772,-0.008357,-0.079351,-0.147943
0.986938,-0.007507,-0.079651,-0.139833
0.988025,-0.006583,-0.079650,-0.131985
0.989053,-0.005665,-0.079553,-0.124154
0.990027,-0.004758,-0.079270,-0.116366
0.990966,-0.004194,-0.078814,-0.108428
0.991856,-0.003802,-0.078269,-0.100409
0.992472,-0.003741,-0.078450,-0.093975
0.993018,-0.003664,-0.078653,-0.087835
0.993473,-0.003558,-0.078906,-0.082291
0.993837,-0.003284,-0.079237,-0.077457
0.994147,-0.002924,-0.079605,-0.072978
0.994489,-0.002629,-0.079514,-0.068274
0.994775,-0.002334,-0.079421,-0.064109
0.994977,-0.002040,-0.079325,-0.061024
0.995156,-0.001760,-0.078973,-0.058522
0.995322,-0.001489,-0.078492,-0.056313
0.995424,-0.001232,-0.077940,-0.055275
0.995528,-0.001233,-0.077277,-0.054325
0.995637,-0.001751,-0.076395,-0.053549
0.995681,-0.002286,-0.075795,-0.053564
0.995692,-0.002830,-0.075336,-0.053975
0.995674,-0.003253,-0.074738,-0.055116
0.995632,-0.003892,-0.074279,-0.056435
0.995544,-0.004961,-0.074095,-0.058110
0.995469,-0.005984,-0.072942,-0.060704
0.995390,-0.006985,-0.071304,-0.063756
0.995056,-0.008258,-0.070315,-0.069653
0.994730,-0.009506,-0.069389,-0.074878
0.994473,-0.010703,-0.068593,-0.078762
0.994267,-0.011752,-0.068317,-0.081415
0.994087,-0.012727,-0.068301,-0.083452
0.993786,-0.013013,-0.067585,-0.087474
0.993498,-0.013430,-0.066965,-0.091085
0.993258,-0.014111,-0.066538,-0.093874
0.993105,-0.014357,-0.066174,-0.095694
0.992997,-0.014386,-0.065841,-0.097030
0.992878,-0.014300,-0.065522,-0.098463
0.992762,-0.014233,-0.065112,-0.099909
0.992652,-0.014201,-0.064523,-0.101378
0.992522,-0.014097,-0.064397,-0.102738
0.992381,-0.013957,-0.064502,-0.104044
0.992146,-0.013864,-0.064596,-0.106213
0.991925,-0.013747,-0.064550,-0.108305
0.991734,-0.013584,-0.064223,-0.110243
0.991604,-0.013643,-0.063387,-0.111882
0.991502,-0.013812,-0.062297,-0.113370
0.991390,-0.013721,-0.061562,-0.114754
0.991258,-0.013646,-0.060970,-0.116210
0.991088,-0.013601,-0.060667,-0.117809
0.990964,-0.013600,-0.060369,-0.118997
0.990863,-0.013620,-0.060075,-0.119980
0.990823,-0.013483,-0.060190,-0.120270
0.990796,-0.013325,-0.060250,-0.120478
0.990797,-0.013128,-0.060200,-0.120523
0.990844,-0.013024,-0.060035,-0.120225
0.990915,-0.012967,-0.059811,-0.119756
0.991035,-0.012730,-0.059793,-0.118792
0.991124,-0.012532,-0.059757,-0.118090
0.991151,-0.012413,-0.059687,-0.117912
0.991143,-0.012226,-0.059598,-0.118043
0.991118,-0.012005,-0.059501,-0.118328
0.991017,-0.011782,-0.059619,-0.119132
0.990989,-0.011599,-0.059629,-0.119373
